lsoa_code,lsoa_name,lsoa21nmw,bng_e,bng_n,lat,long,global_id,local_authority,area_km2,betting_shop_count,imd_score,imd_rank,imd_decile,income_score,income_rank,income_decile,population,shoplifting_rate_1000,theft_from_person_rate_1000,betting_shops_1000,betting_shop_density_km2,population_density,log_population,theft_count,shoplifting_count,theft_from_person_count,bicycle_theft_count,other_theft_count,theft_rate_1000
E01000024,Barking and Dagenham 008D,NA,547218,185700,51.55099105834961,0.12195800244808196,{FB41F2E5-F204-4841-9023-91B767D2D349},Barking and Dagenham,0.12863521643007175,0,29.683,8426,3,0.371,6392,2,1531,0,1.959503592423253,0,0,11901.872927871796,7.333676395657684,12,0,3,0,9,7.838014369693012
E01000025,Barking and Dagenham 008E,NA,546897,185519,51.5494499206543,0.11725600063800812,{10DB2401-0976-4417-BA02-AA6370FE4366},Barking and Dagenham,0.15335204029229116,0,29.84,8359,3,0.377,6163,2,1967,0,1.0167768174885612,0,0,12826.69598820381,7.584264818389059,7,0,2,0,5,3.558718861209964
E01000027,Barking and Dagenham 001A,NA,548428,190177,51.59090042114258,0.1412860006093979,{7DAF0A01-68C2-4784-9878-D367DF92DD10},Barking and Dagenham,1.474526720670798,0,33.245,6841,3,0.402,5267,2,2188,0,2.2851919561243146,0,0,1483.8659546329725,7.690743163541872,21,0,5,0,16,9.597806215722121
E01000028,Barking and Dagenham 001B,NA,547673,189650,51.58636093139648,0.13017399609088898,{524E6490-4308-4B26-8104-CEDD7A5D62DA},Barking and Dagenham,0.1438908218094958,0,35.4,6021,2,0.444,3949,2,1837,0,0.5443658138268918,0,0,12766.623867310282,7.515889085215125,8,0,1,0,7,4.354926510615134
E01000029,Barking and Dagenham 001C,NA,547983,188927,51.57978057861328,0.13434000313282013,{5ABA6BDF-9A39-4B76-9F11-B332A3C0E31F},Barking and Dagenham,0.25687714185097005,0,19.077,15432,5,0.196,16002,5,2079,0.48100048100048104,0,0,0,8093.363173614543,7.639642287858013,10,1,0,1,8,4.81000481000481
E01000030,Barking and Dagenham 001D,NA,548065,189260,51.582759857177734,0.1356630027294159,{69B3DEE2-F00C-4F66-AEDE-8EE8E52E98F2},Barking and Dagenham,0.2862659800586225,0,34.554,6345,2,0.419,4719,2,2716,2.2091310751104567,0.7363770250368188,0,0,9487.679952203222,7.906915488678587,24,6,2,1,15,8.836524300441827
E01000031,Barking and Dagenham 002A,NA,548607,189077,51.58097076416016,0.14340299367904663,{55DEC070-6066-492D-9054-32EC79C378CD},Barking and Dagenham,0.843421220760078,0,21.003,13927,5,0.246,12560,4,1985,1.0075566750629723,0,0,0,2353.5096712543577,7.59337419312129,15,2,0,0,13,7.556675062972292
E01000032,Barking and Dagenham 002B,NA,548006,188376,51.5748291015625,0.13444000482559204,{19E5CD66-2C22-4E5A-823D-F8621D1DFBE2},Barking and Dagenham,0.3754349560820333,0,26.712,10040,3,0.321,8514,3,2181,20.17423200366804,6.87757909215956,0,0,5809.261936502916,7.687538766201629,84,44,15,2,23,38.514442916093536
E01000033,Barking and Dagenham 006A,NA,549985,186183,51.55459976196289,0.1620420068502426,{0F876A92-6A65-4985-8EC6-B754B80EA3AD},Barking and Dagenham,0.145321725337628,0,33.537,6743,2,0.464,3380,2,1568,1.2755102040816326,0.6377551020408163,0,0,10789.852627726816,7.357556200910353,9,2,1,0,6,5.7397959183673475
E01000034,Barking and Dagenham 003A,NA,550689,186433,51.55665969848633,0.17229600250720978,{58917648-4712-4278-A7CC-7F73CBFD472A},Barking and Dagenham,0.5136591081418442,0,28.583,8994,3,0.337,7765,3,1641,0,2.4375380865326024,0,0,3194.725789904317,7.403061091090091,12,0,4,0,8,7.312614259597806
E01000035,Barking and Dagenham 010A,NA,549957,185575,51.54914855957031,0.16137999296188354,{F0FEC07C-F0C3-4E33-954A-098F765384B1},Barking and Dagenham,0.3971614166582714,1,29.504,8514,3,0.339,7702,3,1925,4.1558441558441555,2.0779220779220777,0.5194805194805194,2.517867945013469,4846.895794150928,7.562681246721884,25,8,4,0,13,12.987012987012989
E01000036,Barking and Dagenham 010B,NA,550645,185231,51.54587173461914,0.17114800214767456,{98A0FF78-6FDA-4645-BF20-D4E46F8AF874},Barking and Dagenham,0.41868829672429686,0,25.385,10874,4,0.304,9324,3,1513,15.20158625247852,4.626569729015202,0,0,3613.666806159378,7.321849713788356,44,23,7,0,14,29.081295439524126
E01000037,Barking and Dagenham 003B,NA,551195,187087,51.562400817871094,0.17986999452114105,{4A0B5457-5D64-4355-91FA-E461F371368E},Barking and Dagenham,0.23343335050226469,0,17.76,16580,5,0.225,13884,5,1778,0,0.562429696287964,0,0,7616.735124498633,7.48324441607385,5,0,1,0,4,2.8121484814398197
E01000038,Barking and Dagenham 003C,NA,550700,187149,51.56309127807617,0.1727609932422638,{CCBFB9D2-388E-4E60-B8EB-E653F3281B6D},Barking and Dagenham,0.21404577177386863,0,17.612,16728,5,0.227,13771,5,1676,4.176610978520286,4.176610978520286,0,0,7830.100945748331,7.424165281042028,20,7,7,0,6,11.933174224343675
E01000039,Barking and Dagenham 003D,NA,551175,186134,51.55384063720703,0.17917299270629883,{54DE0D23-A5FA-48AF-B5C3-1026C2B01AF5},Barking and Dagenham,1.5318078661636136,0,17.12,17151,6,0.221,14160,5,1961,0,1.0198878123406423,0,0,1280.1866626467263,7.581209826196346,4,0,2,0,2,2.039775624681285
E01000040,Barking and Dagenham 019A,NA,545597,184006,51.536190032958984,0.09789499640464784,{2C4ACBC3-118B-414E-974B-377AD9490FEB},Barking and Dagenham,0.17070813681866337,0,37.802,5208,2,0.46,3489,2,1929,0.5184033177812338,3.1104199066874028,0,0,11299.988600128076,7.564757012905729,19,1,6,0,12,9.849663037843442
E01000041,Barking and Dagenham 017A,NA,546785,184245,51.538028717041016,0.11511100083589554,{2ACEE11C-D4AF-427A-85B3-1A16CC083270},Barking and Dagenham,0.15263538952714478,0,26.175,10397,4,0.368,6504,2,1888,0,0.5296610169491526,0,0,12369.34636095148,7.543273346705446,10,0,1,0,9,5.296610169491525
E01000042,Barking and Dagenham 017B,NA,546119,184117,51.53704833984375,0.1054619997739792,{AC94737A-955A-4EFD-9C46-C6439148AC6F},Barking and Dagenham,0.2312298368350733,0,39.355,4753,2,0.51,2313,1,2069,0,3.8666022232962782,0,0,8947.807204810391,7.634820677745543,22,0,8,1,13,10.633156114064766
E01000043,Barking and Dagenham 019B,NA,545715,183752,51.533878326416016,0.09949000179767609,{61FA0CF4-133F-4A2D-9FB4-B02091C075AB},Barking and Dagenham,0.26636493161613123,0,27.454,9631,3,0.301,9492,3,1623,0,0,0,0,6093.144432161843,7.392031567514591,9,0,0,0,9,5.545286506469501
E01000044,Barking and Dagenham 016D,NA,545056,183987,51.53615951538086,0.09009300172328948,{255E59EF-45CB-4C24-BFC8-77E16B4BFD93},Barking and Dagenham,0.17062874934685388,0,31.558,7562,3,0.383,5939,2,2008,0,2.49003984063745,0,0,11768.239570918618,7.60489448081162,11,0,5,0,6,5.478087649402391
E01000045,Barking and Dagenham 017C,NA,546618,183883,51.534820556640625,0.11255399882793428,{3ADFDCEB-53F4-48DE-8CEC-F85E11A82F07},Barking and Dagenham,0.29824559343234697,3,34.446,6387,2,0.392,5597,2,1798,11.123470522803116,3.3370411568409346,1.6685205784204673,10.058824224273108,6028.588651747682,7.494430215031565,97,20,6,0,71,53.9488320355951
E01000046,Barking and Dagenham 017D,NA,547092,184102,51.536659240722656,0.11947499960660934,{2BD7D37D-E556-4CC4-A2CD-FC84C0F027AE},Barking and Dagenham,0.15549403360366937,0,27.678,9497,3,0.382,5960,2,2006,0,1.9940179461615153,0,0,12900.816536234366,7.603897968521881,15,0,4,0,11,7.477567298105683
E01000049,Barking and Dagenham 021C,NA,544834,183351,51.53049850463867,0.08663299679756165,{45CC6E02-F9A9-45C9-9960-5510FF35D42D},Barking and Dagenham,0.2122097831713576,0,36.991,5459,2,0.329,8135,3,1284,0,3.8940809968847354,0,0,6050.616426874067,7.157735484249907,46,0,5,1,40,35.82554517133956
E01000050,Barking and Dagenham 019C,NA,544777,183811,51.53464889526367,0.0860000029206276,{09B67DC2-C43D-43CD-804D-5701D441DCE9},Barking and Dagenham,0.1376547270485094,0,30.806,7897,3,0.388,5720,2,1959,0.5104645227156713,1.531393568147014,0,0,14231.25846822282,7.580189417944541,14,1,3,0,10,7.1465033180193975
E01000051,Barking and Dagenham 021D,NA,544519,183770,51.53433990478515,0.08226600289344788,{1CC7C9E9-8A85-4EE6-9369-878792E46741},Barking and Dagenham,0.06663249489916116,0,31.542,7571,3,0.546,1649,1,1894,0,1.5839493136219642,0,0,28424.56976684275,7.546446273746024,15,0,3,0,12,7.91974656810982
E01000052,Barking and Dagenham 019D,NA,545344,183573,51.5323600769043,0.09407100081443788,{026EB05C-CCC0-4A52-BE5A-95395EBF5864},Barking and Dagenham,0.19963641201676707,1,34.895,6208,2,0.411,4957,2,2564,0,1.1700468018720749,0.39001560062402496,5.009106254203827,12843.348435778613,7.849323818040561,9,0,3,1,5,3.510140405616225
E01000053,Barking and Dagenham 020A,NA,548692,183738,51.5329704284668,0.14237399399280548,{C9CD66A0-0FF6-405E-B20E-1C42633EE4C8},Barking and Dagenham,0.18090518429209396,1,33.471,6763,3,0.395,5513,2,1667,2.999400119976005,1.1997600479904018,0.5998800239952009,5.527757559370855,9214.771851471214,7.418780882750794,18,5,2,0,11,10.797840431913617
E01000054,Barking and Dagenham 018A,NA,547985,184116,51.53656005859375,0.1323470026254654,{1B59E5DA-0CFB-4E17-B49E-3567D8B7B5B3},Barking and Dagenham,0.17113994315365225,0,28.481,9055,3,0.365,6602,2,1815,0,0,0,0,10605.355865815984,7.503840746698951,11,0,0,0,11,6.0606060606060606
E01000055,Barking and Dagenham 018B,NA,547569,184072,51.53627014160156,0.1263349950313568,{D2C1A3F6-3530-4580-9D5B-84523C984E2D},Barking and Dagenham,0.14605917420355258,0,28.667,8945,3,0.381,6008,2,1662,0,0.601684717208183,0,0,11378.949724060369,7.415776975415394,8,0,1,0,7,4.813477737665464
E01000056,Barking and Dagenham 018C,NA,548327,183883,51.53437042236328,0.1371770054101944,{3C1EA07A-DB83-45E5-8C31-E44CC11C126B},Barking and Dagenham,0.2435715945742922,0,39.902,4599,2,0.477,3064,1,1746,0,1.145475372279496,0,0,7168.323560272335,7.465082736399547,12,0,2,0,10,6.8728522336769755
E01000057,Barking and Dagenham 012A,NA,547715,184216,51.53752899169922,0.12849900126457214,{CB471389-9CEB-483E-9252-48DA06284C59},Barking and Dagenham,0.14767938861519786,1,28.873,8843,3,0.348,7286,3,1638,59.82905982905983,3.0525030525030523,0.6105006105006106,6.771425649693466,11091.595214197898,7.401231264413015,116,98,5,2,11,70.81807081807082
E01000058,Barking and Dagenham 018D,NA,548209,184418,51.53921127319336,0.1357010006904602,{53CF9937-07F5-4A6A-A908-D3E52DF0EDE4},Barking and Dagenham,0.1821880032430333,0,29.526,8503,3,0.376,6184,2,2203,0,0.45392646391284613,0,0,12091.904849855917,7.697575346802343,11,0,1,1,9,4.993191103041307
E01000059,Barking and Dagenham 013C,NA,548649,184176,51.53691864013672,0.14193899929523468,{046108C9-C29D-4371-A314-932F4FD7931B},Barking and Dagenham,0.20841581666982825,0,27.068,9848,3,0.381,6003,2,1775,0,0.5633802816901409,0,0,8516.628096474798,7.4815557019095165,13,0,1,1,11,7.323943661971831
E01000060,Barking and Dagenham 006B,NA,549327,186583,51.55836868286133,0.15272800624370575,{169BB4BA-CD48-4752-A559-05DBE15353EC},Barking and Dagenham,0.55006595368064,0,32.786,7035,3,0.407,5088,2,2348,2.1294718909710393,2.555366269165247,0,0,4268.579039093216,7.761319180947987,49,5,6,3,35,20.868824531516182
