lsoa_code,theft_count,shoplifting_count,theft_from_person_count,bicycle_theft_count,other_theft_count
E01000223,64,17,11,4,32
E01000224,5,0,1,0,4
E01000225,19,4,4,1,10
E01000226,10,0,0,0,10
E01000227,3,0,0,0,3
E01000228,8,0,0,1,7
E01000229,5,0,1,0,4
E01000230,9,2,0,0,7
E01000231,11,1,0,0,10
E01000232,8,0,0,0,8
E01000233,34,21,1,2,10
E01000234,3,0,0,0,3
E01000235,30,13,2,3,12
E01000236,15,0,1,3,11
E01000237,23,3,2,4,14
E01000238,16,0,2,4,10
E01000239,16,0,1,0,15
E01000240,17,0,1,0,16
E01000241,8,0,0,1,7
E01000242,5,0,0,0,5
E01000243,104,89,1,0,14
E01000244,135,103,1,4,27
E01000245,51,26,2,4,19
E01000246,6,0,0,0,6
E01000247,1,0,0,0,1
E01000248,130,69,23,3,35
E01000249,7,0,2,1,4
E01000250,85,20,20,0,45
E01000251,25,2,2,4,17
E01000252,15,2,1,0,12
E01000253,19,7,1,0,11
E01000254,11,0,0,1,10
E01000255,15,0,1,0,14
E01000256,4,0,0,0,4
E01000257,177,141,6,1,29
E01000258,34,16,3,0,15
E01000259,5,0,1,0,4
E01000260,35,19,4,1,11
E01000261,5,0,0,1,4
E01000263,5,0,0,0,5
E01000264,117,84,7,0,26
E01000265,9,0,0,1,8
E01000266,4,0,0,0,4
E01000267,5,0,0,0,5
E01000268,28,15,1,0,12
E01000269,10,0,3,0,7
E01000270,1,0,1,0,0
E01000271,3,0,0,0,3
E01000272,14,6,2,0,6
E01000273,16,1,2,1,12
E01000274,33,17,1,1,14
E01000275,6,0,0,0,6
E01000276,3,0,0,0,3
E01000277,12,0,1,2,9
E01000278,5,0,1,0,4
E01000279,5,0,0,0,5
E01000280,2,0,0,0,2
E01000281,135,94,11,0,30
E01000282,42,28,4,1,9
E01000283,3,0,0,0,3
E01000284,15,0,5,0,10
E01000285,4,0,0,0,4
E01000286,5,0,0,0,5
E01000287,5,0,1,0,4
E01000288,5,0,0,0,5
E01000289,10,0,1,0,9
E01000290,10,1,1,0,8
E01000291,6,0,0,1,5
E01000292,7,2,0,0,5
E01000293,7,1,1,0,5
E01000294,33,0,7,0,26
E01000295,30,4,11,1,14
E01000296,98,38,29,4,27
E01000297,7,0,2,0,5
E01000298,14,0,5,1,8
E01000299,290,178,31,5,76
E01000300,12,0,1,3,8
E01000301,6,0,1,1,4
E01000302,49,30,4,1,14
E01000303,6,0,1,0,5
E01000304,6,0,2,0,4
E01000305,27,11,3,0,13
E01000306,9,0,0,0,9
E01000307,476,305,88,3,80
E01000308,32,14,1,1,16
E01000309,4,0,0,0,4
E01000310,62,10,8,5,39
E01000311,16,0,2,2,12
E01000312,15,2,0,0,13
E01000313,27,8,5,0,14
E01000314,36,6,3,1,26
E01000315,12,0,1,1,10
E01000316,125,72,10,3,40
E01000317,6,0,2,0,4
E01000318,9,0,3,0,6
E01000319,4,0,0,1,3
E01000320,11,0,4,0,7
E01000321,14,1,4,0,9
E01000322,50,14,9,1,26
E01000323,95,32,31,5,27
E01000324,9,0,3,1,5
E01000325,1,0,0,0,1
